close,high,low,open,timestamp,volume,symbol,date_key_int,time_key
49.1,49.25,46.63,46.86,1577923200,80764599,AMD,20200101,19:00:00
48.6,49.39,47.54,48.03,1578009600,73362157,AMD,20200102,19:00:00
48.39,48.86,47.86,48.02,1578268800,48176286,AMD,20200105,19:00:00
48.25,49.39,48.04,49.35,1578355200,59935556,AMD,20200106,19:00:00
47.83,48.3,47.14,47.85,1578441600,53868957,AMD,20200107,19:00:00
48.97,49.96,48.39,48.94,1578528000,76649637,AMD,20200108,19:00:00
48.165,49.29,48.0,49.26,1578614400,44215594,AMD,20200109,19:00:00
48.745,48.86,48.24,48.66,1578873600,34474728,AMD,20200112,19:00:00
48.21,49.035,47.91,48.64,1578960000,38694180,AMD,20200113,19:00:00
48.545,49.08,48.12,48.23,1579046400,40199943,AMD,20200114,19:00:00
49.77,50.31,48.99,49.17,1579132800,58898926,AMD,20200115,19:00:00
50.93,51.05,49.9,50.2,1579219200,57722501,AMD,20200116,19:00:00
51.05,51.81,50.7,50.96,1579564800,49094965,AMD,20200120,19:00:00
51.43,51.875,51.195,51.63,1579651200,40772219,AMD,20200121,19:00:00
51.71,51.745,50.74,51.34,1579737600,40135442,AMD,20200122,19:00:00
50.35,52.81,49.47,52.2803,1579824000,80004909,AMD,20200123,19:00:00
49.26,49.79,47.9,48.45,1580083200,48878578,AMD,20200126,19:00:00
50.53,50.85,49.48,50.03,1580169600,62343844,AMD,20200127,19:00:00
47.51,48.07,46.1,47.84,1580256000,112559197,AMD,20200128,19:00:00
48.78,48.81,46.13,46.49,1580342400,70460163,AMD,20200129,19:00:00
47.0,48.58,46.79,48.4,1580428800,60322431,AMD,20200130,19:00:00
48.02,48.1,46.23,46.4,1580688000,47076956,AMD,20200202,19:00:00
49.45,49.75,48.61,49.21,1580774400,46302078,AMD,20200203,19:00:00
49.84,50.42,49.31,50.29,1580860800,42737104,AMD,20200204,19:00:00
49.32,49.39,47.63,48.8,1580947200,48670617,AMD,20200205,19:00:00
49.73,50.665,48.635,48.91,1581033600,53107582,AMD,20200206,19:00:00
52.26,52.3,49.35,49.47,1581292800,60971719,AMD,20200209,19:00:00
53.8,54.48,52.91,53.22,1581379200,74719054,AMD,20200210,19:00:00
53.89,54.85,53.53,54.53,1581465600,45994933,AMD,20200211,19:00:00
54.53,55.03,53.34,53.43,1581552000,51640035,AMD,20200212,19:00:00
55.31,55.4,54.56,55.19,1581638400,52365370,AMD,20200213,19:00:00
56.89,58.13,54.84,54.94,1581984000,70346387,AMD,20200217,19:00:00
58.9,59.27,57.51,57.99,1582070400,58597294,AMD,20200218,19:00:00
57.27,59.02,56.15,58.44,1582156800,74203373,AMD,20200219,19:00:00
53.28,56.8,52.89,56.71,1582243200,88553374,AMD,20200220,19:00:00
49.12,50.275,47.49,48.175,1582502400,86624116,AMD,20200223,19:00:00
47.57,51.24,47.12,51.14,1582588800,88699382,AMD,20200224,19:00:00
47.49,49.29,47.07,47.7,1582675200,86897680,AMD,20200225,19:00:00
44.01,46.24,42.21,45.38,1582761600,106416222,AMD,20200226,19:00:00
45.48,46.15,41.04,41.355,1582848000,100667707,AMD,20200227,19:00:00
47.46,47.68,44.66,47.42,1583107200,102324726,AMD,20200301,19:00:00
46.75,50.2,45.67,49.03,1583193600,141972288,AMD,20200302,19:00:00
50.11,50.14,47.2101,48.25,1583280000,93311779,AMD,20200303,19:00:00
48.11,49.72,47.51,48.68,1583366400,98302748,AMD,20200304,19:00:00
48.59,49.54,46.74,49.44,1583452800,124590861,AMD,20200305,19:00:00
43.27,46.34,42.51,43.03,1583712000,80859774,AMD,20200308,20:00:00
45.38,45.44,43.1,45.41,1583798400,76228247,AMD,20200309,20:00:00
45.7,45.97,43.8,44.19,1583884800,102319010,AMD,20200310,20:00:00
39.01,42.5,39.0,42.0,1583971200,107461521,AMD,20200311,20:00:00
43.9,43.91,39.6,42.2,1584057600,86689681,AMD,20200312,20:00:00
38.71,43.37,38.51,39.08,1584316800,84545868,AMD,20200315,20:00:00
41.88,42.88,38.3,40.19,1584403200,92741881,AMD,20200316,20:00:00
39.12,41.95,36.75,39.54,1584489600,106949287,AMD,20200317,20:00:00
39.82,41.7,37.69,39.56,1584576000,88939024,AMD,20200318,20:00:00
39.61,42.4825,39.58,41.51,1584662400,106859502,AMD,20200319,20:00:00
41.64,42.32,38.95,40.62,1584921600,101704663,AMD,20200322,20:00:00
46.22,46.81,43.99,44.04,1585008000,106794151,AMD,20200323,20:00:00
44.63,47.875,44.425,46.79,1585094400,93760389,AMD,20200324,20:00:00
47.5,47.5,45.4,45.78,1585180800,73915608,AMD,20200325,20:00:00
46.58,47.975,45.9,46.32,1585267200,74599218,AMD,20200326,20:00:00
47.86,48.46,46.66,47.24,1585526400,68486602,AMD,20200329,20:00:00
45.48,48.53,45.16,47.925,1585612800,83483749,AMD,20200330,20:00:00
43.66,46.85,43.16,44.18,1585699200,92083081,AMD,20200331,20:00:00
44.49,45.28,43.1,43.4,1585785600,79024133,AMD,20200401,20:00:00
42.59,44.8393,41.7,44.3,1585872000,79334966,AMD,20200402,20:00:00
47.52,47.58,44.06,44.3,1586131200,82293964,AMD,20200405,20:00:00
47.56,49.65,46.675,48.96,1586217600,102098689,AMD,20200406,20:00:00
48.79,49.0,47.61,48.07,1586304000,64930779,AMD,20200407,20:00:00
48.38,50.25,47.72,49.65,1586390400,80357393,AMD,20200408,20:00:00
50.94,51.07,48.23,48.47,1586736000,64290112,AMD,20200412,20:00:00
54.93,55.14,52.11,52.235,1586822400,85306750,AMD,20200413,20:00:00
54.99,55.5699,53.41,53.73,1586908800,83814033,AMD,20200414,20:00:00
56.95,58.08,55.63,55.96,1586995200,103106456,AMD,20200415,20:00:00
56.6,57.755,55.55,57.35,1587081600,76908783,AMD,20200416,20:00:00
56.97,58.63,55.85,55.98,1587340800,72367258,AMD,20200419,20:00:00
52.92,57.73,51.41,56.9,1587427200,123906390,AMD,20200420,20:00:00
55.92,56.15,54.34,54.91,1587513600,63164076,AMD,20200421,20:00:00
55.9,57.285,55.64,56.65,1587600000,69662688,AMD,20200422,20:00:00
56.18,56.78,54.42,55.1,1587686400,72854752,AMD,20200423,20:00:00
56.49,58.0,56.25,57.44,1587945600,62568062,AMD,20200426,20:00:00
55.51,57.35,55.3,57.16,1588032000,80501820,AMD,20200427,20:00:00
53.66,54.86,52.74,54.53,1588118400,110800859,AMD,20200428,20:00:00
52.39,54.29,52.03,53.43,1588204800,65543944,AMD,20200429,20:00:00
49.88,51.95,49.09,51.07,1588291200,69562656,AMD,20200430,20:00:00
52.56,52.61,49.73,49.815,1588550400,62590577,AMD,20200503,20:00:00
52.19,53.51,51.29,53.43,1588636800,56560532,AMD,20200504,20:00:00
52.16,53.31,51.88,52.42,1588723200,48138123,AMD,20200505,20:00:00
51.95,52.9666,51.62,52.93,1588809600,48956641,AMD,20200506,20:00:00
53.19,53.27,51.81,52.15,1588896000,40774186,AMD,20200507,20:00:00
55.74,55.89,52.75,52.9,1589155200,68746373,AMD,20200510,20:00:00
53.76,56.58,53.75,56.2065,1589241600,55631098,AMD,20200511,20:00:00
52.18,55.22,51.295,54.04,1589328000,76824714,AMD,20200512,20:00:00
54.51,54.54,51.61,52.1,1589414400,73813999,AMD,20200513,20:00:00
54.2,54.435,52.86,53.32,1589500800,66950863,AMD,20200514,20:00:00
54.59,55.25,54.24,54.98,1589760000,48679061,AMD,20200517,20:00:00
55.47,56.73,54.36,54.39,1589846400,60388543,AMD,20200518,20:00:00
56.39,56.98,55.625,56.55,1589932800,50888191,AMD,20200519,20:00:00
54.65,56.72,54.61,56.68,1590019200,48496114,AMD,20200520,20:00:00
55.17,55.3748,53.78,54.77,1590105600,43524110,AMD,20200521,20:00:00
53.19,56.08,53.02,56.01,1590451200,51618865,AMD,20200525,20:00:00
52.74,53.28,49.09,53.27,1590537600,102414487,AMD,20200526,20:00:00
51.74,53.54,51.25,52.25,1590624000,53754227,AMD,20200527,20:00:00
53.8,53.8,51.85,52.07,1590710400,64948312,AMD,20200528,20:00:00
53.63,54.11,52.89,53.31,1590969600,36949860,AMD,20200531,20:00:00
53.54,53.57,52.01,53.45,1591056000,42855210,AMD,20200601,20:00:00
52.73,53.65,52.33,53.5965,1591142400,46765332,AMD,20200602,20:00:00
52.63,53.74,52.2,52.59,1591228800,44869090,AMD,20200603,20:00:00
53.1,53.57,52.08,52.99,1591315200,53908273,AMD,20200604,20:00:00
52.97,53.35,52.26,53.3,1591574400,39681749,AMD,20200607,20:00:00
56.39,56.46,52.72,52.9497,1591660800,79919140,AMD,20200608,20:00:00
57.44,59.0,57.03,57.2,1591747200,78719416,AMD,20200609,20:00:00
52.83,56.68,52.8,55.94,1591833600,78715402,AMD,20200610,20:00:00
53.5,55.6,52.11,55.01,1591920000,71189070,AMD,20200611,20:00:00
54.68,54.73,52.4128,52.58,1592179200,56740683,AMD,20200614,20:00:00
54.46,56.07,53.59,55.72,1592265600,50949745,AMD,20200615,20:00:00
54.55,55.82,54.3,54.79,1592352000,45146545,AMD,20200616,20:00:00
54.04,55.1225,53.65,54.62,1592438400,40354724,AMD,20200617,20:00:00
54.23,55.455,53.815,54.41,1592524800,52801461,AMD,20200618,20:00:00
54.76,55.17,53.74,54.67,1592784000,44704781,AMD,20200621,20:00:00
53.99,55.37,53.87,55.05,1592870400,48089011,AMD,20200622,20:00:00
52.39,54.74,51.92,53.94,1592956800,53535548,AMD,20200623,20:00:00
51.93,52.7,50.54,52.56,1593043200,51129614,AMD,20200624,20:00:00
50.1,51.95,49.45,51.85,1593129600,65485729,AMD,20200625,20:00:00
50.28,50.28,48.42,50.15,1593388800,49905813,AMD,20200628,20:00:00
52.61,52.77,50.82,51.16,1593475200,42275739,AMD,20200629,20:00:00
52.58,52.87,51.6,52.63,1593561600,32370945,AMD,20200630,20:00:00
52.34,53.19,52.0508,53.0335,1593648000,29081425,AMD,20200701,20:00:00
53.4,53.52,52.33,52.9,1593993600,36769425,AMD,20200705,20:00:00
52.93,54.17,52.86,53.28,1594080000,32153094,AMD,20200706,20:00:00
53.43,53.47,52.07,53.01,1594166400,35608338,AMD,20200707,20:00:00
57.255,57.58,53.31,53.52,1594252800,87216264,AMD,20200708,20:00:00
55.88,58.15,55.51,57.54,1594339200,59839688,AMD,20200709,20:00:00
53.59,58.35,53.38,56.68,1594598400,57741821,AMD,20200712,20:00:00
54.72,54.86,52.26,53.3,1594684800,54890110,AMD,20200713,20:00:00
55.34,55.37,53.59,54.96,1594771200,42360279,AMD,20200714,20:00:00
54.92,55.15,53.74,54.68,1594857600,36887082,AMD,20200715,20:00:00
55.04,55.81,54.68,55.31,1594944000,34710407,AMD,20200716,20:00:00
57.46,57.53,54.83,55.23,1595203200,45034250,AMD,20200719,20:00:00
57.0,58.5,56.3173,57.805,1595289600,44800687,AMD,20200720,20:00:00
61.79,62.0,56.97,57.07,1595376000,135159420,AMD,20200721,20:00:00
59.57,62.33,58.6342,61.63,1595462400,106829109,AMD,20200722,20:00:00
69.4,69.94,64.05,64.18,1595548800,205314531,AMD,20200723,20:00:00
68.97,71.63,67.79,69.28,1595808000,107918075,AMD,20200726,20:00:00
67.61,69.8,67.02,68.1,1595894400,94181374,AMD,20200727,20:00:00
76.09,77.19,73.9,75.5,1595980800,132969679,AMD,20200728,20:00:00
78.2,78.96,75.07,75.37,1596067200,80286888,AMD,20200729,20:00:00
77.43,78.96,75.36,78.67,1596153600,71699667,AMD,20200730,20:00:00
77.67,78.5,77.06,78.19,1596412800,42628817,AMD,20200802,20:00:00
85.04,85.805,77.99,78.03,1596499200,155676106,AMD,20200803,20:00:00
85.31,86.32,83.32,84.96,1596585600,65737306,AMD,20200804,20:00:00
86.71,86.98,84.7801,85.49,1596672000,53961739,AMD,20200805,20:00:00
84.85,87.29,82.6702,86.67,1596758400,66543157,AMD,20200806,20:00:00
82.24,85.16,79.3221,85.05,1597017600,70536143,AMD,20200809,20:00:00
76.88,80.71,76.1,80.71,1597104000,77877661,AMD,20200810,20:00:00
82.61,82.88,77.55,78.43,1597190400,88607829,AMD,20200811,20:00:00
81.84,84.02,81.54,82.88,1597276800,57407355,AMD,20200812,20:00:00
81.3,83.24,80.88,81.81,1597363200,42389477,AMD,20200813,20:00:00
82.42,83.06,81.552,82.09,1597622400,31450155,AMD,20200816,20:00:00
81.66,82.88,81.03,82.8,1597708800,30970483,AMD,20200817,20:00:00
81.09,81.85,80.45,81.7757,1597795200,37507391,AMD,20200818,20:00:00
82.77,82.84,79.12,79.74,1597881600,42948860,AMD,20200819,20:00:00
83.81,84.41,82.23,83.29,1597968000,48280318,AMD,20200820,20:00:00
83.08,85.33,82.55,84.55,1598227200,38036068,AMD,20200823,20:00:00
86.35,86.62,82.35,83.36,1598313600,49234399,AMD,20200824,20:00:00
86.02,87.72,85.2,86.9694,1598400000,47157273,AMD,20200825,20:00:00
83.8,86.58,82.94,86.35,1598486400,42194222,AMD,20200826,20:00:00
85.55,86.04,84.19,84.3,1598572800,40723268,AMD,20200827,20:00:00
90.82,92.64,85.05,85.05,1598832000,90655945,AMD,20200830,20:00:00
92.18,92.51,90.1899,91.92,1598918400,56117100,AMD,20200831,20:00:00
90.22,94.28,88.74,94.01,1599004800,50366918,AMD,20200901,20:00:00
82.54,88.47,81.59,87.84,1599091200,87462687,AMD,20200902,20:00:00
82.01,84.39,76.33,81.45,1599177600,82267760,AMD,20200903,20:00:00
78.69,81.88,78.0,78.05,1599523200,54955672,AMD,20200907,20:00:00
81.91,82.44,79.28,81.4,1599609600,54163878,AMD,20200908,20:00:00
78.98,83.31,78.38,83.07,1599696000,51499396,AMD,20200909,20:00:00
76.34,79.99,75.04,79.82,1599782400,54762990,AMD,20200910,20:00:00
77.9,78.82,76.26,76.8,1600041600,47448681,AMD,20200913,20:00:00
78.93,80.33,75.97,77.66,1600128000,57874428,AMD,20200914,20:00:00
76.66,79.72,76.54,79.35,1600214400,38445668,AMD,20200915,20:00:00
76.55,76.625,74.2,74.88,1600300800,55619100,AMD,20200916,20:00:00
74.93,77.4,73.85,77.0,1600387200,51082857,AMD,20200917,20:00:00
77.94,77.98,73.88,74.23,1600646400,61311970,AMD,20200920,20:00:00
77.7,78.79,75.27,78.365,1600732800,56044742,AMD,20200921,20:00:00
74.73,77.91,74.34,77.39,1600819200,42327514,AMD,20200922,20:00:00
75.82,77.25,73.9,74.54,1600905600,57540926,AMD,20200923,20:00:00
78.055,78.2,74.67,76.35,1600992000,48206242,AMD,20200924,20:00:00
79.48,79.57,77.52,79.1165,1601251200,48005488,AMD,20200927,20:00:00
81.77,82.55,79.3,79.3,1601337600,61633672,AMD,20200928,20:00:00
81.99,82.94,80.66,81.75,1601424000,51533664,AMD,20200929,20:00:00
84.86,85.25,82.86,83.06,1601510400,52177123,AMD,20200930,20:00:00
81.8,84.65,81.66,82.58,1601596800,52855053,AMD,20201001,20:00:00
86.15,86.2819,82.55,82.55,1601856000,47056522,AMD,20201004,20:00:00
84.48,87.25,83.54,86.21,1601942400,52725432,AMD,20201005,20:00:00
86.69,87.79,85.65,86.1,1602028800,43045723,AMD,20201006,20:00:00
86.51,88.72,85.95,88.11,1602115200,54240704,AMD,20201007,20:00:00
83.1,85.75,82.3465,84.74,1602201600,80354389,AMD,20201008,20:00:00
84.29,85.13,83.12,83.65,1602460800,47669699,AMD,20201011,20:00:00
85.28,86.09,83.9733,84.86,1602547200,42764096,AMD,20201012,20:00:00
84.21,85.96,83.46,85.86,1602633600,40446735,AMD,20201013,20:00:00
83.13,84.7201,82.42,83.4,1602720000,33696414,AMD,20201014,20:00:00
83.17,83.99,82.41,83.54,1602806400,31474294,AMD,20201015,20:00:00
82.0,84.65,81.53,83.62,1603065600,36689114,AMD,20201018,20:00:00
81.56,82.69,80.58,82.16,1603152000,38219415,AMD,20201019,20:00:00
79.2,81.9299,79.19,81.72,1603238400,36426409,AMD,20201020,20:00:00
79.42,80.82,78.42,79.65,1603324800,38006798,AMD,20201021,20:00:00
81.96,81.99,79.33,80.93,1603411200,46557675,AMD,20201022,20:00:00
82.23,84.97,80.86,82.55,1603670400,69423675,AMD,20201025,20:00:00
78.88,82.37,77.57,82.0,1603756800,156669494,AMD,20201026,20:00:00
76.4,78.96,75.76,78.73,1603843200,76529910,AMD,20201027,20:00:00
78.02,79.18,76.29,76.75,1603929600,52784087,AMD,20201028,20:00:00
75.29,77.7,74.23,77.09,1604016000,51426174,AMD,20201029,20:00:00
74.7,76.3398,73.7573,75.85,1604275200,45760659,AMD,20201101,19:00:00
76.58,77.08,74.6,74.93,1604361600,41231803,AMD,20201102,19:00:00
81.35,81.85,78.975,80.25,1604448000,66579711,AMD,20201103,19:00:00
83.0,83.5,81.85,83.27,1604534400,46542267,AMD,20201104,19:00:00
85.88,86.09,82.67,83.52,1604620800,53829936,AMD,20201105,19:00:00
83.12,87.05,82.77,84.24,1604880000,58580684,AMD,20201108,19:00:00
77.99,82.13,77.63,81.93,1604966400,67137196,AMD,20201109,19:00:00
81.28,81.47,78.97,79.39,1605052800,44611250,AMD,20201110,19:00:00
81.84,83.0,80.3,81.32,1605139200,37303106,AMD,20201111,19:00:00
81.43,83.11,80.7,82.73,1605225600,30448461,AMD,20201112,19:00:00
83.73,83.78,80.48,81.21,1605484800,38640842,AMD,20201115,19:00:00
83.36,84.81,82.91,83.9298,1605571200,29473512,AMD,20201116,19:00:00
82.54,83.955,82.22,83.0135,1605657600,29967958,AMD,20201117,19:00:00
85.54,85.64,81.72,82.39,1605744000,50116759,AMD,20201118,19:00:00
84.64,86.1,84.47,85.28,1605830400,35008427,AMD,20201119,19:00:00
85.31,87.54,84.615,85.52,1606089600,46504964,AMD,20201122,19:00:00
85.07,86.11,83.32,85.7235,1606176000,36839174,AMD,20201123,19:00:00
86.71,87.84,85.52,85.76,1606262400,41349727,AMD,20201124,19:00:00
87.19,88.0,86.3598,87.99,1606435200,22717638,AMD,20201126,19:00:00
92.66,92.74,86.53,87.33,1606694400,84482979,AMD,20201129,19:00:00
92.63,93.9,90.78,92.25,1606780800,58670527,AMD,20201130,19:00:00
93.74,96.37,92.5253,92.89,1606867200,57988822,AMD,20201201,19:00:00
92.31,94.7,92.01,94.06,1606953600,35859716,AMD,20201202,19:00:00
94.04,94.58,90.63,92.58,1607040000,45570273,AMD,20201203,19:00:00
94.07,95.0,92.97,94.95,1607299200,39815654,AMD,20201206,19:00:00
92.92,94.74,91.9,94.05,1607385600,33907510,AMD,20201207,19:00:00
89.83,94.7,89.16,92.76,1607472000,52170379,AMD,20201208,19:00:00
91.66,92.09,89.0297,89.55,1607558400,33804412,AMD,20201209,19:00:00
91.65,92.33,90.16,91.54,1607644800,28368145,AMD,20201210,19:00:00
94.78,95.41,91.85,92.205,1607904000,48026426,AMD,20201213,19:00:00
97.12,97.98,95.45,95.93,1607990400,57305100,AMD,20201214,19:00:00
96.85,97.27,95.46,97.04,1608076800,34909037,AMD,20201215,19:00:00
96.84,97.92,96.25,97.55,1608163200,32023734,AMD,20201216,19:00:00
95.92,97.68,93.56,97.27,1608249600,51823103,AMD,20201217,19:00:00
93.23,95.28,91.08,94.25,1608508800,47093891,AMD,20201220,19:00:00
93.16,93.55,90.53,93.36,1608595200,35717836,AMD,20201221,19:00:00
91.55,93.13,91.46,93.08,1608681600,25993348,AMD,20201222,19:00:00
91.81,92.51,91.31,91.8,1608768000,16705909,AMD,20201223,19:00:00
91.6,93.14,90.82,92.93,1609113600,30627297,AMD,20201227,19:00:00
90.62,92.46,89.4301,91.66,1609200000,31748211,AMD,20201228,19:00:00
92.29,92.85,90.19,90.78,1609286400,25844973,AMD,20201229,19:00:00
91.71,92.3,90.87,92.1,1609372800,24920500,AMD,20201230,19:00:00
