date,spidx,log return
2020-06-01,3055.73,0.0
2020-06-02,3080.82,0.008177278702023465
2020-06-03,3122.87,0.013556655475681826
2020-06-04,3112.35,-0.003374382935045795
2020-06-05,3193.93,0.025874065601552972
2020-06-08,3232.39,0.011969668235859062
2020-06-09,3207.18,-0.007829755338198062
2020-06-10,3190.14,-0.0053272433765708446
2020-06-11,3002.1,-0.06075275919869289
2020-06-12,3041.31,0.012976299868566436
2020-06-15,3066.59,0.008277851423430304
2020-06-16,3124.74,0.01878488465267299
2020-06-17,3113.49,-0.003606796221336869
2020-06-18,3115.34,0.0005940120550401924
2020-06-19,3097.74,-0.005665482200964775
2020-06-22,3117.86,0.006474055690439126
2020-06-23,3131.29,0.0042981911703125365
2020-06-24,3050.33,-0.02619527873275449
2020-06-25,3083.76,0.010899850173409288
2020-06-26,3009.05,-0.024525217335129468
2020-06-29,3053.24,0.014578907539069857
2020-06-30,3100.29,0.01529233363768146
2020-07-01,3115.86,0.005009542099664131
2020-07-02,3130.01,0.00453100183265328
2020-07-06,3179.72,0.015756943165826313
2020-07-07,3145.32,-0.010877508816987262
2020-07-08,3169.94,0.007797026481291786
2020-07-09,3152.05,-0.005659625451287915
2020-07-10,3185.04,0.010411813000986475
2020-07-13,3155.22,-0.00940662366648347
2020-07-14,3197.52,0.013317285189446137
2020-07-15,3226.56,0.009041044884784208
2020-07-16,3215.57,-0.003411918313161816
2020-07-17,3224.73,0.0028445899031588197
2020-07-20,3251.84,0.008371764170464781
2020-07-21,3257.3,0.0016776413721593887
2020-07-22,3276.02,0.005730639622957727
2020-07-23,3235.66,-0.012396345287241563
2020-07-24,3215.63,-0.006209630744305032
2020-07-27,3239.41,0.007367919510066761
2020-07-28,3218.44,-0.006494444344686342
2020-07-29,3258.44,0.012351783128253628
2020-07-30,3246.22,-0.0037573107206831397
2020-07-31,3271.12,0.007641191392371668
2020-08-03,3294.61,0.007155365883905606
2020-08-04,3306.51,0.00360545267801785
2020-08-05,3327.77,0.0064091575198012216
2020-08-06,3349.16,0.006407158132423376
2020-08-07,3351.28,0.0006327942853730394
2020-08-10,3360.47,0.0027384827334759297
2020-08-11,3333.69,-0.008001046543221289
2020-08-12,3380.35,0.013899455827979215
2020-08-13,3373.43,-0.0020492235227105187
2020-08-14,3372.85,-0.0001719466139647112
2020-08-17,3381.99,0.0027062093485908582
2020-08-18,3389.78,0.002300728889572129
2020-08-19,3374.85,-0.004414143638946041
2020-08-20,3385.51,0.0031536808202811935
2020-08-21,3397.16,0.0034352287393030465
2020-08-24,3431.28,0.009993580954932106
2020-08-25,3443.62,0.00358987425339455
2020-08-26,3478.73,0.010144040989640822
2020-08-27,3484.55,0.0016716264045830256
2020-08-28,3508.01,0.00671001407851169
2020-08-31,3500.31,-0.0021973891312895358
2020-09-01,3526.65,0.007496875851234013
2020-09-02,3580.84,0.015248997908235747
2020-09-03,3455.06,-0.035757586556313434
2020-09-04,3426.96,-0.0081662523968659
2020-09-08,3331.84,-0.02814886686405828
2020-09-09,3398.96,0.019944798533671326
2020-09-10,3339.19,-0.01774123987058698
2020-09-11,3340.97,0.000532921379765575
2020-09-14,3383.54,0.012661314711189059
2020-09-15,3401.2,0.005205811831507181
2020-09-16,3385.49,-0.004629658363745304
2020-09-17,3357.01,-0.008447955322129995
2020-09-18,3319.47,-0.011245565213035068
2020-09-21,3281.06,-0.011638590711243436
2020-09-22,3315.57,0.010463013638868866
2020-09-23,3236.92,-0.024007294161091854
2020-09-24,3246.59,0.0029829543473573147
2020-09-25,3298.46,0.015850478138509476
2020-09-28,3351.6,0.015982150874003724
2020-09-29,3335.47,-0.004824244783809024
2020-09-30,3363.0,0.008219833784947334
2020-10-01,3380.8,0.005278935121522738
2020-10-02,3348.44,-0.009617802143182246
2020-10-05,3408.63,0.01781588530117781
2020-10-06,3360.95,-0.014086778930182592
2020-10-07,3419.45,0.01725604732087949
2020-10-08,3446.83,0.007975248642444218
2020-10-09,3477.13,0.008752272809348647
2020-10-12,3534.22,0.01628538348497012
2020-10-13,3511.93,-0.006326880453748811
2020-10-14,3488.67,-0.006645169155040894
2020-10-15,3483.34,-0.0015289711398439405
2020-10-16,3483.81,0.00013491886946954788
2020-10-19,3426.92,-0.016464623898632638
2020-10-20,3443.12,0.004716138487297713
2020-10-21,3435.56,-0.0021980970313859494
2020-10-22,3453.49,0.005205373886326262
2020-10-23,3465.39,0.0034398664911297477
2020-10-26,3400.97,-0.018764495369547173
2020-10-27,3390.68,-0.0030301938037524704
2020-10-28,3271.03,-0.03592557122600889
2020-10-29,3310.11,0.0118765014438055
2020-10-30,3269.96,-0.012203669046735501
2020-11-02,3310.24,0.012242941894852779
2020-11-03,3369.16,0.01764276082075866
2020-11-04,3443.44,0.02180751658433598
2020-11-05,3510.45,0.019273262670013912
2020-11-06,3509.44,-0.00028775379869741254
2020-11-09,3550.5,0.011631958050304203
2020-11-10,3545.53,-0.0014007834839128777
2020-11-11,3572.66,0.007622761226929676
2020-11-12,3537.01,-0.010028678908945363
2020-11-13,3585.15,0.013518576706374859
2020-11-16,3626.91,0.011580731916656505
2020-11-17,3609.53,-0.00480347613410369
2020-11-18,3567.79,-0.011631213479601318
2020-11-19,3581.87,0.003938653922538716
2020-11-20,3557.54,-0.006815715636269892
2020-11-23,3577.59,0.0056200945950578216
2020-11-24,3635.41,0.016032507557285768
2020-11-25,3629.65,-0.0015856720266289198
2020-11-27,3638.35,0.0023940572799516376
2020-11-30,3621.63,-0.004606081438497098
2020-12-01,3662.45,0.011208121636017976
2020-12-02,3669.01,0.0017895485348597621
2020-12-03,3666.72,-0.0006243414287024246
2020-12-04,3699.12,0.008797424045414703
2020-12-07,3691.96,-0.0019374711787083175
2020-12-08,3702.25,0.0027832605897471193
2020-12-09,3672.82,-0.007980983560702697
2020-12-10,3668.1,-0.00128594253865602
2020-12-11,3663.46,-0.0012657607983834493
2020-12-14,3647.49,-0.0043687962305264194
2020-12-15,3694.62,0.012838447626446777
2020-12-16,3701.17,0.0017712784469306416
2020-12-17,3722.48,0.005741126947631056
2020-12-18,3709.41,-0.003517278505023192
2020-12-21,3694.92,-0.003913931036978114
2020-12-22,3687.26,-0.002075268484142857
2020-12-23,3690.01,0.0007455332737925254
2020-12-24,3703.06,0.0035303368029281483
2020-12-28,3735.36,0.008684694603369354
2020-12-29,3727.04,-0.0022298465500115035
2020-12-30,3732.04,0.0013406481091209083
